nameid,term
1,mediaeval-byzantine
2,modern
3,modern
4,mediaeval-byzantine
5,mediaeval-byzantine
6,mediaeval-byzantine
7,mediaeval-byzantine
9,modern
10,mediaeval-byzantine
10,modern
11,mediaeval-byzantine
12,modern
13,mediaeval-byzantine
14,mediaeval-byzantine
15,mediaeval-byzantine
16,mediaeval-byzantine
17,mediaeval-byzantine
18,modern
20,mediaeval-byzantine
20,modern
21,mediaeval-byzantine
22,modern
23,modern
24,modern
25,mediaeval-byzantine
26,modern
27,modern
29,mediaeval-byzantine
29,modern
30,modern
31,modern
32,modern
33,mediaeval-byzantine
34,mediaeval-byzantine
34,modern
35,modern
38,mediaeval-byzantine
38,modern
39,modern
40,mediaeval-byzantine
40,modern
43,mediaeval-byzantine
44,mediaeval-byzantine
44,modern
45,modern
47,medieval
48,mediaeval-byzantine
49,modern
50,mediaeval-byzantine
51,modern
52,mediaeval-byzantine
53,mediaeval-byzantine
53,modern
54,hellenistic-republican
55,roman
56,mediaeval-byzantine
57,mediaeval-byzantine
58,mediaeval-byzantine
59,mediaeval-byzantine
60,mediaeval-byzantine
61,hellenistic-republican
62,mediaeval-byzantine
63,modern
64,modern
65,modern
66,mediaeval-byzantine
67,mediaeval-byzantine
68,mediaeval-byzantine
69,mediaeval-byzantine
70,mediaeval-byzantine
71,mediaeval-byzantine
72,mediaeval-byzantine
73,mediaeval-byzantine
74,mediaeval-byzantine
75,mediaeval-byzantine
75,modern
76,mediaeval-byzantine
76,modern
77,modern
78,mediaeval-byzantine
78,modern
],mediaeval-byzantine
80,mediaeval-byzantine
81,mediaeval-byzantine
82,mediaeval-byzantine
83,mediaeval-byzantine
83,modern
84,modern
85,mediaeval-byzantine
85,modern
86,mediaeval-byzantine
86,modern
87,modern
88,mediaeval-byzantine
89,mediaeval-byzantine
90,modern
91,mediaeval-byzantine
91,modern
92,modern
93,mediaeval-byzantine
94,mediaeval-byzantine
95,modern
96,mediaeval-byzantine
98,mediaeval-byzantine
99,mediaeval-byzantine
99,modern
100,modern
101,modern
101,mediaeval-byzantine
102,modern
103,mediaeval-byzantine
104,mediaeval-byzantine
105,mediaeval-byzantine
106,mediaeval-byzantine
107,mediaeval-byzantine
108,mediaeval-byzantine
109,mediaeval-byzantine
109,modern
110,mediaeval-byzantine
111,mediaeval-byzantine
112,mediaeval-byzantine
113,modern
115,mediaeval-byzantine
116,mediaeval-byzantine
119,mediaeval-byzantine
119,modern
122,mediaeval-byzantine
123,mediaeval-byzantine
124,mediaeval-byzantine
124,modern
125,modern
126,modern
127,mediaeval-byzantine
128,mediaeval-byzantine
129,mediaeval-byzantine
131,mediaeval-byzantine
132,modern
133,modern
134,mediaeval-byzantine
135,mediaeval-byzantine
136,mediaeval-byzantine
136,modern
138,mediaeval-byzantine
139,modern
141,mediaeval-byzantine
141,modern
142,mediaeval-byzantine
142,modern
143,mediaeval-byzantine
143,modern
144,mediaeval-byzantine
144,modern
145,mediaeval-byzantine
145,modern
148,mediaeval-byzantine
148,modern
149,mediaeval-byzantine
150,modern
151,mediaeval-byzantine
152,mediaeval-byzantine
152,modern
153,modern
154,mediaeval-byzantine
155,modern
156,modern
157,modern
158,modern
159,modern
160,modern
161,modern
162,modern
163,modern
164,modern
165,modern
166,modern
167,modern
168,modern
169,modern
170,modern
171,modern
172,modern
173,modern
174,modern
175,modern
176,modern
177,modern
178,modern
179,modern
180,modern
181,modern
182,modern
183,modern
184,modern
185,modern
186,modern
187,modern
188,modern
189,modern
190,modern
191,modern
192,modern
193,modern
194,modern
195,modern
196,modern
197,modern
198,modern
199,modern
200,modern
223,mediaeval-byzantine
